Nhắn tin trực tiếp cho SHINE SHOP hoặc vào trang Facebook,,,,,,,
SẢN PHẨM,LOGO,GÓI,ĐƠN GIÁ,,BẢO HÀNH,KHUYẾN MÃI,GHI CHÚ
,,,,,,,
GOOGLE ONE,,"1TB
(slot gia đình)",,,"Bảo hành toàn bộ thời gian sử dụng

Có hỗ trợ sửa lỗi giới hạn 12 tháng 
(dành cho gói 1 năm trở lên)",,"Bao gồm Google Drive, Google Photos, Google Meet, Gmail, Gemini Advanced, Notebook LM,..."
,,,,,,,
,,,,,,,
,,"5TB
(chia sẻ được cho 5 người)",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
GEMINI - VEO 3,,"Veo 3
(5 vid/ngày)
",,,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
CHATGPT,,"PLUS & Sora
(1 tháng)","Dùng chung
(3 người)",150.000₫,Bảo hành toàn bộ thời gian sử dụng,,"Cọc 50k đến khi đủ 3 người
https://shineshop.org/faq/tien-coc-chatgpt-plus/"
,,,,,,,
,,,Chính chủ,380.000₫,,,"Siêu ổn định, không lỗi"
,,,,,,,
,,"TEAM
(1 tháng)",Dùng chung,50.000₫,,Mua 3 slot giảm còn 40k,Chuyển sang hồ sơ SHINE SHOP để sử dụng các tính năng Plus
,,,Chính chủ,180.000₫,,Mua 3 slot giảm còn 150k,
,,,,,,,
"COPILOT
(chính chủ)",,PRO,1 tháng,380.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"CLAUDE
(chính chủ)",,PRO,1 tháng,,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
CURSOR AI,,PRO,12 tháng,600.000₫,Bảo hành 3 tháng,,
,,,,,,,
,,,,,,,
,,,,,,,
"WINDSURF AI
(chính chủ)",,PRO,1 tháng,250.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
PERPLEXITY AI PRO,,Thêm vào đội nhóm,1 tháng,30.000₫,Bảo hành toàn bộ thời gian sử dụng,,"Tích hợp các model AI nổi tiếng của ChatGPT, Gemini, Grok, Claude,..."
,,,6 tháng,155.000₫,,,
,,,12 tháng,250.000₫,,,
,,Cá nhân,12 tháng,400.000₫,,,
,,,,,,,
SUPERGROK AI,,Dùng chung,2 tháng,150.000₫,Bảo hành toàn bộ thời gian sử dụng,,Được đánh giá là AI thông minh nhất thời điểm hiện tại
,,Cá nhân,2 tháng,300.000₫,,,
,,,2 tháng (KBH),200.000₫,,,
,,,,,,,
"BRAINLY
(chính chủ)",,PLUS,1 tháng,200.000₫,"Bảo hành toàn bộ thời gian sử dụng
",,
,,,6 tháng,500.000₫,,,
,,,12 tháng,700.000₫,,,
,,TUTOR,1 tháng,500.000₫,,,
,,,6 tháng,1.200.000₫,,,
,,,12 tháng,1.700.000₫,,,
,,,,,,,
"CAMSCANNER
(chính chủ)",,PREMIUM,12 tháng,365.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"BUSUU
(chính chủ)",,PREMIUM+,1 tháng,50.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,6 tháng,200.000₫,,,
,,,12 tháng,300.000₫,,,
,,,,,,,
"CHEGG
(chính chủ)",,STUDY,1 tháng,150.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"COUSERA
(chính chủ)",,PLUS,1 tháng,700.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
QUIZLET PLUS,,Tài khoản sẵn,~30 ngày,0₫,S H I N E S H O P _ Q U I Z L E T,,
,,,1 tháng,10.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,12 tháng,145.000₫,,,
,,Chính chủ,12 tháng,195.000₫,,,
,,,,,,,
,,,,,,,
"DOULINGO
(chính chủ)",,SUPER,12 tháng,180.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,MAX,12 tháng ,,,,
,,,,,,,
,,HACK,100k KN,10.000₫,Bảo hành hoàn tiền 1 ngày,,Có thể bị ban khỏi giải đấu và bảng xếp hạng
,,,10k GEM,,,,
,,,1k STREAK,,,,
,,,,,,,
"LINGOKIDS
(chính chủ)",,PLUS,1 tháng,100.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,12 tháng ,800.000₫,,,
,,,,,,,
,,,,,,,
"BRILLIANT
(chính chủ)",,PREMIUM,12 tháng,1.200.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"ELSA
(chính chủ)",,PRO,3 tháng,350.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,12 tháng ,900.000₫,,,
,,PREMIUM,3 tháng,500.000₫,,,
,,,12 tháng,1.200.000₫,,,
,,,,,,,
"SPEAK
(chính chủ)",,PREMIUM,1 tháng,225.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,12 tháng,900.000₫,,,
,,PREMIUM PLUS,1 tháng,475.000₫,,,
,,,12 tháng,2.100.000₫,,,
,,,,,,,
"OtterAI
(chính chủ)",,PRO,1 tháng,250.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"HANZII 
(chính chủ)",,PREMIUM,3 tháng,250.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,, 12 tháng,400.000₫,,,
,,,LIFE TIME,555.555₫,,,
,,,,,,,
"CHINESESKILL
(chính chủ)",,PREMIUM,1 tháng,100.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,, 6 tháng,400.000₫,,,
,,,12 tháng,600.000₫,,,
,,,,,,,
SUPERCHINESE,,PLUS,,,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,CHAO,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"HELLOCHINESE
(chính chủ)",,PREMIUM,1 tháng,140.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,3 tháng,310.000₫,,,
,,,12 tháng,850.000₫,,,
,,PREMIUM+,1 tháng,250.000₫,,,
,,,6 tháng,1.100.000₫,,,
,,,12 tháng,1.700.000₫,,,
,,,,,,,
"ZOOM WORKPLACE
PRO",,Tài khoản sẵn,28 ngày,50.000₫,Bảo hành toàn bộ thời gian sử dụng,,Tài khoản dùng thử hai lần 14 ngày
,,Chính chủ,1 tháng,150.000₫,,,Loại xịn
,,,12 tháng,1.500.000₫,,,
,,,,,,,
"TRUECALLER
(chính chủ)",,PREMIUM,12 tháng,90.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"OFFICE 365
(chính chủ)",,OFFICE & 1TB ONEDRIVE,12 tháng,250.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"FONOS
(chính chủ)",,PREMIUM,,,Bảo hành toàn bộ thời gian sử dụng,,